SAMPLE,VAR,LOC,VARLOC,AMINOACID,CONCENTRATION
16,Regalona,Spain,Regalona-Spain,Phenylalanine,33.14917127
10,Titicaca,Spain,Titicaca-Spain,Phenylalanine,12.9740519
17,Titicaca,Spain,Titicaca-Spain,Phenylalanine,26.49974581
4,Salcedo,Chile,Salcedo-Chile,Phenylalanine,20.68965517
11,Salcedo,Chile,Salcedo-Chile,Phenylalanine,21.34146341
12,Regalona,Chile,Regalona-Chile,Phenylalanine,22.26027397
19,Regalona,Chile,Regalona-Chile,Phenylalanine,27.84005979
6,Titicaca,Chile,Titicaca-Chile,Phenylalanine,31.16983068
13,Titicaca,Chile,Titicaca-Chile,Phenylalanine,18.75937969
20,Titicaca,Chile,Titicaca-Chile,Phenylalanine,25.64267352
7,Salcedo,Peru,Salcedo-Peru,Phenylalanine,31.41361257
21,Salcedo,Peru,Salcedo-Peru,Phenylalanine,27.08845209
1,Salcedo,Spain,Salcedo-Spain,Glycine,11.40329013
15,Salcedo,Spain,Salcedo-Spain,Glycine,22.25063939
2,Regalona,Spain,Regalona-Spain,Glycine,11.44756278
9,Regalona,Spain,Regalona-Spain,Glycine,9.437596302
16,Regalona,Spain,Regalona-Spain,Glycine,24.86187845
10,Titicaca,Spain,Titicaca-Spain,Glycine,3.867265469
17,Titicaca,Spain,Titicaca-Spain,Glycine,5.338078292
4,Salcedo,Chile,Salcedo-Chile,Glycine,7.389162562
11,Salcedo,Chile,Salcedo-Chile,Glycine,5.144817073
12,Regalona,Chile,Regalona-Chile,Glycine,7.229832572
19,Regalona,Chile,Regalona-Chile,Glycine,8.594917788
6,Titicaca,Chile,Titicaca-Chile,Glycine,18.47101077
13,Titicaca,Chile,Titicaca-Chile,Glycine,7.87893947
20,Titicaca,Chile,Titicaca-Chile,Glycine,10.98971722
7,Salcedo,Peru,Salcedo-Peru,Glycine,4.908376963
21,Salcedo,Peru,Salcedo-Peru,Glycine,2.57985258
1,Salcedo,Spain,Salcedo-Spain,Glutamine,93.28265204
15,Salcedo,Spain,Salcedo-Spain,Glutamine,117.5831202
2,Regalona,Spain,Regalona-Spain,Glutamine,200.7016248
9,Regalona,Spain,Regalona-Spain,Glutamine,169.1063174
10,Titicaca,Spain,Titicaca-Spain,Glutamine,86.57684631
17,Titicaca,Spain,Titicaca-Spain,Glutamine,149.2755465
4,Salcedo,Chile,Salcedo-Chile,Glutamine,174.3842365
11,Salcedo,Chile,Salcedo-Chile,Glutamine,153.5823171
12,Regalona,Chile,Regalona-Chile,Glutamine,124.6194825
19,Regalona,Chile,Regalona-Chile,Glutamine,144.9925262
6,Titicaca,Chile,Titicaca-Chile,Glutamine,189.7126732
13,Titicaca,Chile,Titicaca-Chile,Glutamine,102.8014007
20,Titicaca,Chile,Titicaca-Chile,Glutamine,134.7686375
7,Salcedo,Peru,Salcedo-Peru,Glutamine,133.7041885
21,Salcedo,Peru,Salcedo-Peru,Glutamine,102.4570025
1,Salcedo,Spain,Salcedo-Spain,Histidine,21.3110668
15,Salcedo,Spain,Salcedo-Spain,Histidine,16.30434783
2,Regalona,Spain,Regalona-Spain,Histidine,19.20236337
9,Regalona,Spain,Regalona-Spain,Histidine,18.29738059
16,Regalona,Spain,Regalona-Spain,Histidine,15.82119538
10,Titicaca,Spain,Titicaca-Spain,Histidine,9.855289421
17,Titicaca,Spain,Titicaca-Spain,Histidine,21.92425013
4,Salcedo,Chile,Salcedo-Chile,Histidine,10.34482759
11,Salcedo,Chile,Salcedo-Chile,Histidine,12.57621951
12,Regalona,Chile,Regalona-Chile,Histidine,16.74277017
19,Regalona,Chile,Regalona-Chile,Histidine,22.23467862
6,Titicaca,Chile,Titicaca-Chile,Histidine,18.66341714
13,Titicaca,Chile,Titicaca-Chile,Histidine,12.1935968
20,Titicaca,Chile,Titicaca-Chile,Histidine,17.54498715
7,Salcedo,Peru,Salcedo-Peru,Histidine,15.31413613
21,Salcedo,Peru,Salcedo-Peru,Histidine,15.29484029
1,Salcedo,Spain,Salcedo-Spain,Isoleucine,49.16500499
15,Salcedo,Spain,Salcedo-Spain,Isoleucine,53.7084399
2,Regalona,Spain,Regalona-Spain,Isoleucine,37.85081241
9,Regalona,Spain,Regalona-Spain,Isoleucine,33.51309707
16,Regalona,Spain,Regalona-Spain,Isoleucine,43.50828729
10,Titicaca,Spain,Titicaca-Spain,Isoleucine,14.09680639
17,Titicaca,Spain,Titicaca-Spain,Isoleucine,29.74072191
4,Salcedo,Chile,Salcedo-Chile,Isoleucine,20.87438424
11,Salcedo,Chile,Salcedo-Chile,Isoleucine,20.00762195
12,Regalona,Chile,Regalona-Chile,Isoleucine,29.10958904
19,Regalona,Chile,Regalona-Chile,Isoleucine,33.44544096
6,Titicaca,Chile,Titicaca-Chile,Isoleucine,44.25346331
13,Titicaca,Chile,Titicaca-Chile,Isoleucine,26.45072536
20,Titicaca,Chile,Titicaca-Chile,Isoleucine,35.86118252
7,Salcedo,Peru,Salcedo-Peru,Isoleucine,20.02617801
21,Salcedo,Peru,Salcedo-Peru,Isoleucine,13.82063882
1,Salcedo,Spain,Salcedo-Spain,Leucine,46.17397807
15,Salcedo,Spain,Salcedo-Spain,Leucine,41.04859335
2,Regalona,Spain,Regalona-Spain,Leucine,35.81979321
9,Regalona,Spain,Regalona-Spain,Leucine,35.43913713
16,Regalona,Spain,Regalona-Spain,Leucine,37.29281768
10,Titicaca,Spain,Titicaca-Spain,Leucine,16.09281437
17,Titicaca,Spain,Titicaca-Spain,Leucine,32.60040671
4,Salcedo,Chile,Salcedo-Chile,Leucine,20.68965517
11,Salcedo,Chile,Salcedo-Chile,Leucine,23.62804878
12,Regalona,Chile,Regalona-Chile,Leucine,33.10502283
19,Regalona,Chile,Regalona-Chile,Leucine,37.74289985
6,Titicaca,Chile,Titicaca-Chile,Leucine,43.86865059
13,Titicaca,Chile,Titicaca-Chile,Leucine,29.63981991
20,Titicaca,Chile,Titicaca-Chile,Leucine,39.13881748
7,Salcedo,Peru,Salcedo-Peru,Leucine,22.77486911
21,Salcedo,Peru,Salcedo-Peru,Leucine,16.03194103
1,Salcedo,Spain,Salcedo-Spain,Lysine,10.28165503
15,Salcedo,Spain,Salcedo-Spain,Lysine,10.74168798
2,Regalona,Spain,Regalona-Spain,Lysine,18.46381093
9,Regalona,Spain,Regalona-Spain,Lysine,17.33436055
16,Regalona,Spain,Regalona-Spain,Lysine,20.34153692
10,Titicaca,Spain,Titicaca-Spain,Lysine,7.48502994
17,Titicaca,Spain,Titicaca-Spain,Lysine,9.150991357
4,Salcedo,Chile,Salcedo-Chile,Lysine,7.389162562
11,Salcedo,Chile,Salcedo-Chile,Lysine,8.00304878
12,Regalona,Chile,Regalona-Chile,Lysine,10.65449011
19,Regalona,Chile,Regalona-Chile,Lysine,13.07922272
