,VAR,LOC,VARLOC,N,mean,sd,se,ci,variable
52,Salcedo,Chile,Salcedo-Chile,3,78,2.64575131106459,1.52752523165195,6.57241060772843,Peso.planta..g.
53,Salcedo,España,Salcedo-España,5,NA,NA,NA,NA,Peso.planta..g.
54,Salcedo,Peru,Salcedo-Peru,4,66,2.58198889747161,1.29099444873581,4.10852051352104,Peso.planta..g.
55,Titicaca,Chile,Titicaca-Chile,3,86,19.313207915828,11.1504857891185,47.9766681185832,Peso.planta..g.
56,Titicaca,España,Titicaca-España,5,89.6,7.66811580507233,3.42928563989645,9.52122332921558,Peso.planta..g.
57,Regalona,Chile,Regalona-Chile,3,40.3333333333333,13.7961347243833,7.96520209689901,34.2714985452287,Peso.grano.por.planta..g.
58,Regalona,España,Regalona-España,5,50.6,9.58123165360279,4.28485705712571,11.8966704027289,Peso.grano.por.planta..g.
59,Salcedo,Chile,Salcedo-Chile,3,36.6666666666667,7.02376916856849,4.05517502019881,17.4480098702703,Peso.grano.por.planta..g.
60,Salcedo,España,Salcedo-España,5,NA,NA,NA,NA,Peso.grano.por.planta..g.
61,Salcedo,Peru,Salcedo-Peru,4,26.4,1.14309521329882,0.571547606649409,1.81891956907516,Peso.grano.por.planta..g.
62,Titicaca,Chile,Titicaca-Chile,3,42.6666666666667,9.71253485622231,5.60753461375357,24.1272741130314,Peso.grano.por.planta..g.
63,Titicaca,España,Titicaca-España,5,37.2,4.65832587954085,2.08326666559997,5.78407553652675,Peso.grano.por.planta..g.
64,Regalona,Chile,Regalona-Chile,3,0.416666666666667,0.220479275922049,0.127293769304329,0.54770088397737,Índice.de.Cosecha
65,Regalona,España,Regalona-España,5,0.468,0.037682887362834,0.016852299546353,0.046789484586798,Índice.de.Cosecha
66,Salcedo,Chile,Salcedo-Chile,3,0.471957671957672,0.088964442569243,0.051363644865658,0.220999926791104,Índice.de.Cosecha
67,Salcedo,España,Salcedo-España,5,NA,NA,NA,NA,Índice.de.Cosecha
68,Salcedo,Peru,Salcedo-Peru,4,0.4,0,0,0,Índice.de.Cosecha
69,Titicaca,Chile,Titicaca-Chile,3,0.5,0,0,0,Índice.de.Cosecha
70,Titicaca,España,Titicaca-España,5,0.416,0.027018512172213,0.012083045973595,0.033547913849267,Índice.de.Cosecha
